state,district,blackvap_share,nominate_dim1,party_code
IN,9,0.026648850087337278,0.417,200
KS,1,0.02759154613409032,0.607,200
KS,2,0.08426507860165255,0.468,200
KS,3,0.04455437532705037,-0.263,100
KS,4,0.06398884694422567,0.648,200
KY,1,0.06966528384542456,0.592,200
KY,2,0.05346304206939324,0.427,200
KY,3,0.20375391138608312,-0.378,100
KY,4,0.032824870342813776,0.662,200
KY,5,0.015822833534347814,0.333,200
KY,6,0.08011480871766731,0.489,200
LA,1,0.12131312140621285,0.559,200
LA,2,0.5635862427583817,-0.486,100
LA,2,0.5635862427583817,-0.517,100
LA,3,0.23377460408397102,0.627,200
LA,4,0.325401162249723,0.565,200
LA,5,0.31824824360676207,0.43,200
LA,6,0.2286364103142524,0.425,200
MA,1,0.05257565753626626,-0.417,100
MA,2,0.049136828542543046,-0.538,100
MA,3,0.036173061224489794,-0.408,100
MA,4,0.0307275689718282,-0.274,100
MA,5,0.04908409453914467,-0.479,100
MA,6,0.029741141030468606,-0.286,100
MA,7,0.1911565886155509,-0.373,100
MA,8,0.08872820863284545,-0.342,100
MA,9,0.024730001255808112,-0.329,100
MD,1,0.14146473823991318,0.674,200
MD,2,0.2276323697436812,-0.299,100
MD,3,0.16474462354242483,-0.466,100
MD,4,0.5683435085045961,-0.344,100
MD,5,0.39598877126526194,-0.381,100
MD,6,0.12182151070845951,-0.348,100
MD,7,0.5206010260064359,-0.44,100
MD,8,0.1616043106070482,-0.503,100
ME,1,0.018202327663384064,-0.423,100
ME,2,0.011575731754851926,-0.105,100
MI,1,0.009931266967824972,0.433,200
MI,2,0.02203809658432514,0.531,200
MI,3,0.1024448920593707,0.245,200
MI,4,0.07713908884226434,0.447,200
MI,5,0.0403911585642141,-0.359,100
MI,6,0.09541521190353364,0.32,200
MI,7,0.05665318754948341,0.498,200
MI,8,0.13906227845429936,-0.368,100
MI,9,0.021815728687335997,-0.474,100
MI,10,0.12087439058993474,0.548,200
MI,11,0.1247408387082347,-0.371,100
MI,12,0.4380911320545813,-0.402,100
MI,13,0.446989494568454,-0.29,100
MN,1,0.03131633853178606,0.477,200
MN,1,0.03131633853178606,0.55,200
MN,2,0.05166907277016973,-0.274,100
MN,3,0.07986400995263002,-0.277,100
MN,4,0.09665168704876971,-0.419,100
MN,5,0.1454239946621859,-0.296,100
MN,6,0.03707376524869135,0.467,200
MN,7,0.012315252869769318,0.539,200
MN,8,0.0114075348504197,0.384,200
MO,1,0.4332966001922349,-0.247,100
MO,2,0.0306704683493049,0.391,200
MO,3,0.044989690992854395,0.45,200
MO,4,0.041961957668715834,0.478,200
MO,5,0.2051511480414679,-0.454,100
MO,6,0.03478564977352827,0.449,200
MO,7,0.018987873149992108,0.544,200
MO,8,0.04221690423933612,0.577,200
MS,1,0.2622803017014559,0.637,200
MS,2,0.6073734776678098,-0.519,100
MS,3,0.3163515872833737,0.53,200
MS,4,0.215687034329699,0.535,200
MT,1,0.0033355925303083225,0.753,200
NC,1,0.3961115836026535,-0.404,100
NC,2,0.16506421417726455,-0.383,100
NC,3,0.17421612910392537,0.486,200
NC,4,0.24962218368542718,-0.343,100
NC,5,0.1139166216719263,0.624,200
NC,6,0.2979437131417459,-0.276,100
NC,7,0.1768949730232308,0.567,200
NC,8,0.13442794324773252,0.524,200
NC,9,0.22342472046169362,0.703,200
NC,10,0.09602873766621016,0.524,200
NC,11,0.03310056805226803,0.555,200
NC,12,0.33666593066902184,-0.464,100
NC,13,0.2050266110497514,0.633,200
NE,1,0.031022787278118528,0.304,200
NE,1,0.031022787278118528,0.445,200
NE,2,0.09243075556761624,0.281,200
NE,3,0.011767118825379334,0.509,200
NH,1,0.013073806738752103,-0.234,100
NH,2,0.011656402269122502,-0.264,100
NJ,1,0.15530174923987336,-0.42,100
NJ,2,0.1071598260892204,0.382,200
NJ,3,0.12322001596325194,-0.408,100
NJ,4,0.03357570971770579,0.183,200
NJ,5,0.05362516113920298,-0.164,100
NJ,6,0.10432137132389022,-0.402,100
NJ,7,0.04763374924869199,-0.272,100
NJ,8,0.080869080313052,-0.404,100
NJ,9,0.08149808408656992,-0.369,100
NJ,10,0.48011282262113775,-0.52,100
NJ,11,0.06167046719353423,-0.234,100
NJ,12,0.15637700056922732,-0.594,100
NM,1,0.02430241743226991,-0.332,100
NM,1,0.02430241743226991,-0.442,100
NM,2,0.018854331531639144,0.936,200
NM,3,0.012965868496968286,-0.368,100
NV,1,0.09700739800604533,-0.297,100
NV,2,0.019833858493268405,0.384,200
NV,3,0.09290246340058012,-0.228,100
NV,4,0.15622236892795258,-0.316,100
NY,1,0.04329092326332924,0.397,200
NY,2,0.09498247420153443,0.244,200
NY,3,0.03521419190358467,-0.213,100
NY,4,0.16520903474865484,-0.28,100
NY,5,0.4087551481981916,-0.415,100
